Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
tajine-terre-cuite-cerclage-bois-32cm,Tajine en Terre Cuite avec Cerclage et Poignées Bois 32 cm,"<p><strong>Tajine artisanal marocain</strong> en terre cuite, avec cerclage métallique et poignées en bois. Diamètre de 32 cm.</p><ul>
<li>Diamètre : 32 cm</li>
<li>Cerclage métallique et poignées bois</li>
<li>Fabrication traditionnelle marocaine</li>
</ul>",My Store,,Tajine,"artisanat marocain, poterie, tajine, terre cuite",true,Title,Default Title,,,,,,,,,1500.0,,100,deny,manual,14.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/339.png?v=1785897088,1,Tajine en Terre Cuite avec Cerclage et Poignées Bois 32 cm,false,,,,kg,,,active
gsaa-peinte-etoile-petales-34cm,Gsaa Peinte Motif Étoile à Pétales 34 cm,"<p><strong>Gsaa artisanale marocaine</strong> peinte à la main, plat traditionnel utilisé pour servir le couscous ou les plats mijotés. Diamètre de 34 cm, orné d'un motif étoile à pétales colorés.</p><ul>
<li>Diamètre : 34 cm</li>
<li>Peinte à la main</li>
<li>Motif étoile à pétales</li>
</ul>",My Store,,Poterie,"artisanat marocain, couscous, gsaa, poterie",true,Title,Default Title,,,,,,,,,1600.0,,100,deny,manual,19.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/340.png?v=1785897088,1,Gsaa Peinte Motif Étoile à Pétales 34 cm,false,,,,kg,,,active
gsaa-peinte-fleur-35cm,Gsaa Peinte Motif Fleur 35 cm,"<p><strong>Gsaa artisanale marocaine</strong> peinte à la main, plat traditionnel utilisé pour servir le couscous ou les plats mijotés. Diamètre de 35 cm, orné d'un motif floral délicat.</p><ul>
<li>Diamètre : 35 cm</li>
<li>Peinte à la main</li>
<li>Motif floral traditionnel</li>
</ul>",My Store,,Poterie,"artisanat marocain, couscous, gsaa, poterie",true,Title,Default Title,,,,,,,,,1600.0,,100,deny,manual,19.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/341.png?v=1785897088,1,Gsaa Peinte Motif Fleur 35 cm,false,,,,kg,,,active
gsaa-peinte-etoile-florale-30cm,Gsaa Peinte Motif Étoile Florale 30 cm,"<p><strong>Gsaa artisanale marocaine</strong> peinte à la main, plat traditionnel utilisé pour servir le couscous ou les plats mijotés. Diamètre de 30 cm, orné d'un motif étoile florale coloré.</p><ul>
<li>Diamètre : 30 cm</li>
<li>Peinte à la main</li>
<li>Motif étoile florale traditionnel</li>
</ul>",My Store,,Poterie,"artisanat marocain, couscous, gsaa, poterie",true,Title,Default Title,,,,,,,,,1600.0,,100,deny,manual,25.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/342.png?v=1785897088,1,Gsaa Peinte Motif Étoile Florale 30 cm,false,,,,kg,,,active
tajine-terre-cuite-emaillee,Tajine en Terre Cuite Émaillée,"<p><strong>Tajine artisanal marocain</strong> en terre cuite émaillée, fabriqué à la main selon la tradition marocaine. Un incontournable pour la cuisson mijotée.</p><ul>
<li>Terre cuite émaillée</li>
<li>Fabrication traditionnelle marocaine</li>
<li>Idéal pour la cuisson mijotée</li>
</ul>",My Store,,Tajine,"artisanat marocain, poterie, tajine, terre cuite",true,Title,Default Title,,,,,,,,,1900.0,,100,deny,manual,39.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/343.png?v=1785897088,1,Tajine en Terre Cuite Émaillée,false,,,,kg,,,active
tajine-terre-cuite-cerclage-bois,Tajine en Terre Cuite avec Cerclage et Poignées Bois,"<p><strong>Tajine artisanal marocain</strong> en terre cuite, avec cerclage métallique et poignées en bois pour une manipulation plus sûre et pratique.</p><ul>
<li>Cerclage métallique renforcé</li>
<li>Poignées en bois</li>
<li>Fabrication traditionnelle marocaine</li>
</ul>",My Store,,Tajine,"artisanat marocain, poterie, tajine, terre cuite",true,Title,Default Title,,,,,,,,,1700.0,,100,deny,manual,23.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/344.png?v=1785897088,1,Tajine en Terre Cuite avec Cerclage et Poignées Bois,false,,,,kg,,,active
mejmer-terre-cuite-35cm,Mejmer en Terre Cuite 35 cm,"<p><strong>Mejmer artisanal marocain</strong> en terre cuite naturelle, plat traditionnel à becs verseurs, fabriqué à la main. Diamètre de 35 cm.</p><ul>
<li>Diamètre : 35 cm</li>
<li>Terre cuite naturelle artisanale</li>
<li>Fabrication traditionnelle marocaine</li>
</ul>",My Store,,Poterie,"artisanat marocain, mejmer, poterie, terre cuite",true,Title,Default Title,,,,,,,,,2000.0,,100,deny,manual,23.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/345.png?v=1785897088,1,Mejmer en Terre Cuite 35 cm,false,,,,kg,,,active
tajine-terre-cuite-naturelle-33cm,Tajine en Terre Cuite Naturelle 33 cm,"<p><strong>Tajine artisanal marocain</strong> en terre cuite naturelle, non émaillé, fabriqué à la main. Diamètre de 33 cm, idéal pour une cuisson traditionnelle au four ou sur feu doux.</p><ul>
<li>Diamètre : 33 cm</li>
<li>Terre cuite naturelle artisanale</li>
<li>Fabrication traditionnelle marocaine</li>
</ul>",My Store,,Tajine,"artisanat marocain, poterie, tajine, terre cuite",true,Title,Default Title,,,,,,,,,1800.0,,100,deny,manual,22.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/346.png?v=1785897088,1,Tajine en Terre Cuite Naturelle 33 cm,false,,,,kg,,,active
plaque-msemen-aluminium-39cm,Plaque à Msemen en Aluminium 39 cm,"<p><strong>Plaque en aluminium</strong> traditionnelle avec poignées, idéale pour la cuisson du msemen, rghaif et crêpes marocaines. Diamètre de 39 cm.</p><ul>
<li>Diamètre : 39 cm</li>
<li>Aluminium épais et résistant</li>
<li>Poignées pratiques des deux côtés</li>
</ul>",My Store,,Ustensiles de cuisson,"aluminium, cuisine marocaine, msemen, plaque",true,Title,Default Title,,,,,,,,,1100.0,,100,deny,manual,23.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/328.png?v=1785758164,1,Plaque à Msemen en Aluminium 39 cm,false,,,,kg,,,active
wok-marmite-inox-deux-poignees-34cm,Wok Marmite Inox à Deux Poignées 34 cm,"<p><strong>Wok/marmite en acier inoxydable</strong> avec deux poignées latérales, diamètre de 34 cm. Idéal pour cuisiner de grandes quantités.</p><ul>
<li>Diamètre : 34 cm</li>
<li>Acier inoxydable de qualité</li>
<li>Deux poignées pratiques</li>
</ul>",My Store,,Ustensiles de cuisson,"cuisine, inox, marmite, wok",true,Title,Default Title,,,,,,,,,1200.0,,100,deny,manual,13.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/327.png?v=1785758164,1,Wok Marmite Inox à Deux Poignées 34 cm,false,,,,kg,,,active
poele-paella-quttin-36cm,Poêle à Paella Quttin 36 cm,"<p><strong>Poêle à paella Quttin</strong>, revêtement antiadhésif, compatible induction et tous types de feux. Diamètre de 36 cm, pour 6 portions.</p><ul>
<li>Diamètre : 36 cm (6 portions)</li>
<li>Revêtement antiadhésif</li>
<li>Compatible induction</li>
</ul>",Quttin,,Ustensiles de cuisson,"induction, paella, poêle, quttin",true,Title,Default Title,,,,,,,,,1050.0,,100,deny,manual,17.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/326.png?v=1785758163,1,Poêle à Paella Quttin 36 cm,false,,,,kg,,,active
poele-paella-emaillee-36cm,Poêle à Paella Émaillée 36 cm,"<p><strong>Poêle à paella émaillée</strong> avec finition mouchetée et poignées métalliques. Diamètre de 36 cm, idéale pour préparer votre paella traditionnelle.</p><ul>
<li>Diamètre : 36 cm</li>
<li>Revêtement émaillé résistant</li>
<li>Poignées métalliques solides</li>
</ul>",My Store,,Ustensiles de cuisson,"cuisine, paella, poêle, émaillée",true,Title,Default Title,,,,,,,,,1100.0,,100,deny,manual,16.90,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/325.png?v=1785758164,1,Poêle à Paella Émaillée 36 cm,false,,,,kg,,,active
poele-paella-quttin-32cm,Poêle à Paella Quttin 32 cm,"<p><strong>Poêle à paella Quttin</strong>, revêtement antiadhésif, compatible induction et tous types de feux. Diamètre de 32 cm, pour 4 portions.</p><ul>
<li>Diamètre : 32 cm (4 portions)</li>
<li>Revêtement antiadhésif</li>
<li>Compatible induction</li>
</ul>",Quttin,,Ustensiles de cuisson,"induction, paella, poêle, quttin",true,Title,Default Title,,,,,,,,,850.0,,100,deny,manual,15.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/324.png?v=1785758164,1,Poêle à Paella Quttin 32 cm,false,,,,kg,,,active
poele-paella-emaillee-33cm,Poêle à Paella Émaillée 33 cm,"<p><strong>Poêle à paella émaillée</strong> avec finition mouchetée et poignées métalliques. Diamètre de 33 cm, idéale pour préparer votre paella traditionnelle.</p><ul>
<li>Diamètre : 33 cm</li>
<li>Revêtement émaillé résistant</li>
<li>Poignées métalliques solides</li>
</ul>",My Store,,Ustensiles de cuisson,"cuisine, paella, poêle, émaillée",true,Title,Default Title,,,,,,,,,900.0,,100,deny,manual,13.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/323.png?v=1785758164,1,Poêle à Paella Émaillée 33 cm,false,,,,kg,,,active
plateau-rond-aluminium-nuraklar-44cm,Plateau Rond en Aluminium 44 cm,"<p><strong>Plateau rond en aluminium</strong> de la marque Nuraklar, idéal pour la cuisson ou le service. Diamètre de 44 cm.</p><ul>
<li>Diamètre : 44 cm</li>
<li>Aluminium de qualité</li>
<li>Bords hauts pour plus de polyvalence</li>
</ul>",Nuraklar,,Ustensiles de cuisson,"aluminium, cuisine, nuraklar, plateau",true,Title,Default Title,,,,,,,,,850.0,,100,deny,manual,11.90,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/322.png?v=1785758164,1,Plateau Rond en Aluminium 44 cm Nuraklar,false,,,,kg,,,active
plateau-rond-aluminium-canalkor-40cm,Plateau Rond en Aluminium 40 cm,"<p><strong>Plateau rond en aluminium</strong> de la marque Canalkor, idéal pour la cuisson ou le service. Diamètre de 40 cm.</p><ul>
<li>Diamètre : 40 cm</li>
<li>Aluminium de qualité</li>
<li>Bords hauts pour plus de polyvalence</li>
</ul>",Canalkor,,Ustensiles de cuisson,"aluminium, canalkor, cuisine, plateau",true,Title,Default Title,,,,,,,,,700.0,,100,deny,manual,9.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/321.png?v=1785758164,1,Plateau Rond en Aluminium 40 cm Canalkor,false,,,,kg,,,active
plaque-msemen-aluminium-46cm,Plaque à Msemen en Aluminium 46 cm,"<p><strong>Plaque en aluminium</strong> traditionnelle avec poignées, idéale pour la cuisson du msemen, rghaif et crêpes marocaines. Diamètre de 46 cm.</p><ul>
<li>Diamètre : 46 cm</li>
<li>Aluminium épais et résistant</li>
<li>Poignées pratiques des deux côtés</li>
</ul>",My Store,,Ustensiles de cuisson,"aluminium, cuisine marocaine, msemen, plaque",true,Title,Default Title,,,,,,,,,1300.0,,100,deny,manual,27.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/320.png?v=1785758164,1,Plaque à Msemen en Aluminium 46 cm,false,,,,kg,,,active
plaque-msemen-aluminium-28cm,Plaque à Msemen en Aluminium 28 cm,"<p><strong>Plaque en aluminium</strong> traditionnelle avec poignées, idéale pour la cuisson du msemen, rghaif et crêpes marocaines. Diamètre de 28 cm.</p><ul>
<li>Diamètre : 28 cm</li>
<li>Aluminium épais et résistant</li>
<li>Poignées pratiques des deux côtés</li>
</ul>",My Store,,Ustensiles de cuisson,"aluminium, cuisine marocaine, msemen, plaque",true,Title,Default Title,,,,,,,,,600.0,,100,deny,manual,11.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/319.png?v=1785758164,1,Plaque à Msemen en Aluminium 28 cm,false,,,,kg,,,active
plaque-msemen-aluminium-33cm,Plaque à Msemen en Aluminium 33 cm,"<p><strong>Plaque en aluminium</strong> traditionnelle avec poignées, idéale pour la cuisson du msemen, rghaif et crêpes marocaines. Diamètre de 33 cm.</p><ul>
<li>Diamètre : 33 cm</li>
<li>Aluminium épais et résistant</li>
<li>Poignées pratiques des deux côtés</li>
</ul>",My Store,,Ustensiles de cuisson,"aluminium, cuisine marocaine, msemen, plaque",true,Title,Default Title,,,,,,,,,750.0,,100,deny,manual,14.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/318.png?v=1785758164,1,Plaque à Msemen en Aluminium 33 cm,false,,,,kg,,,active
plaque-msemen-aluminium-36cm,Plaque à Msemen en Aluminium 36 cm,"<p><strong>Plaque en aluminium</strong> traditionnelle avec poignées, idéale pour la cuisson du msemen, rghaif et crêpes marocaines. Diamètre de 36 cm.</p><ul>
<li>Diamètre : 36 cm</li>
<li>Aluminium épais et résistant</li>
<li>Poignées pratiques des deux côtés</li>
</ul>",My Store,,Ustensiles de cuisson,"aluminium, cuisine marocaine, msemen, plaque",true,Title,Default Title,,,,,,,,,900.0,,100,deny,manual,19.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/317.png?v=1785758164,1,Plaque à Msemen en Aluminium 36 cm,false,,,,kg,,,active
poele-antiadhesive-granit-32cm-manche-rouge,Poêle Antiadhésive Granit 32 cm,"<p><strong>Poêle antiadhésive</strong> revêtement granit, diamètre de 32 cm, avec manche ergonomique rouge amovible. Convient à tous types de cuisson.</p><ul>
<li>Diamètre : 32 cm (33 cm avec bord)</li>
<li>Revêtement granit antiadhésif</li>
<li>Manche ergonomique rouge</li>
</ul>",My Store,,Ustensiles de cuisson,"antiadhésive, cuisine, granit, poêle",true,Title,Default Title,,,,,,,,,1200.0,,100,deny,manual,23.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/316.png?v=1785758164,1,Poêle Antiadhésive Granit 32 cm,false,,,,kg,,,active
bouilloire-electrique-inox-rouge-royal-swiss-2l,Bouilloire Électrique Inox Rouge Royal Swiss 2L,"<p><strong>Bouilloire électrique</strong> Royal Swiss en acier inoxydable rouge, capacité de 2 litres. Chauffe rapide et design élégant pour votre cuisine.</p><ul>
<li>Capacité : 2 litres</li>
<li>Corps en inox coloris rouge</li>
<li>Arrêt automatique</li>
</ul>",Royal Swiss,,Petit électroménager,"bouilloire, cuisine, royal swiss, électroménager",true,Title,Default Title,,,,,,,,,900.0,,100,deny,manual,16.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/315.png?v=1785758164,1,Bouilloire Électrique Inox Rouge Royal Swiss 2L,false,,,,kg,,,active
couscoussier-inox-schleizer-16l,Couscoussier Inox Schleizer 16L (2 Pièces),"<p><strong>Couscoussier en acier inoxydable</strong> Schleizer, capacité de 16 litres, composé de 2 pièces. Compatible avec toutes les sources de chaleur : gaz, électrique et céramique.</p><ul>
<li>Capacité : 16 litres</li>
<li>2 pièces (marmite + panier vapeur)</li>
<li>Compatible gaz, électrique, céramique</li>
</ul>",Schleizer,,Ustensiles de cuisson,"couscoussier, cuisine, inox, schleizer",true,Title,Default Title,,,,,,,,,4500.0,,100,deny,manual,49.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/314.png?v=1785758164,1,Couscoussier Inox Schleizer 16L,false,,,,kg,,,active
couscoussier-inox-schleizer-12l,Couscoussier Inox Schleizer 12L (2 Pièces),"<p><strong>Couscoussier en acier inoxydable</strong> Schleizer, capacité de 12 litres, composé de 2 pièces. Compatible avec toutes les sources de chaleur : gaz, électrique et céramique.</p><ul>
<li>Capacité : 12 litres</li>
<li>2 pièces (marmite + panier vapeur)</li>
<li>Compatible gaz, électrique, céramique</li>
</ul>",Schleizer,,Ustensiles de cuisson,"couscoussier, cuisine, inox, schleizer",true,Title,Default Title,,,,,,,,,3500.0,,100,deny,manual,44.90,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/313.png?v=1785758164,1,Couscoussier Inox Schleizer 12L,false,,,,kg,,,active
couscoussier-inox-schleizer-6l,Couscoussier Inox Schleizer 6L (2 Pièces),"<p><strong>Couscoussier en acier inoxydable</strong> Schleizer, capacité de 6 litres, composé de 2 pièces. Compatible avec toutes les sources de chaleur : gaz, électrique et céramique.</p><ul>
<li>Capacité : 6 litres</li>
<li>2 pièces (marmite + panier vapeur)</li>
<li>Compatible gaz, électrique, céramique</li>
</ul>",Schleizer,,Ustensiles de cuisson,"couscoussier, cuisine, inox, schleizer",true,Title,Default Title,,,,,,,,,2500.0,,100,deny,manual,39.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/312.png?v=1785758164,1,Couscoussier Inox Schleizer 6L,false,,,,kg,,,active
caissettes-cupcakes-papier-lot-couleurs,Caissettes à Cupcakes en Papier (lot de 50),"<p><strong>Caissettes en papier</strong> pour cupcakes et muffins, disponibles en plusieurs coloris. Lot de 50 pièces, idéales pour vos pâtisseries maison.</p><ul>
<li>Lot de 50 caissettes</li>
<li>Plusieurs coloris disponibles</li>
<li>Papier alimentaire de qualité</li>
</ul>",My Store,,Pâtisserie,"caissettes, cupcakes, papier, pâtisserie",true,Title,Default Title,,,,,,,,,50.0,,100,deny,manual,0.90,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/311.png?v=1785758164,1,Caissettes à Cupcakes en Papier Lot de 50,false,,,,kg,,,active
tajine-inox-bavary-8,Tajine en Inox Bavary #8,"<p><strong>Tajine en acier inoxydable</strong> de la marque Bavary, taille #8. Couvercle conique élégant, idéal pour la présentation et la cuisson de vos plats traditionnels.</p><ul>
<li>Modèle #8</li>
<li>Acier inoxydable de qualité</li>
<li>Couvercle conique avec poignée</li>
</ul>",Bavary,,Ustensiles de cuisson,"cuisine, inox, marocain, tajine",true,Title,Default Title,,,,,,,,,900.0,,100,deny,manual,25.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/310.png?v=1785758164,1,Tajine en Inox Bavary #8,false,,,,kg,,,active
pichet-doseur-gradue-1l,Pichet Doseur Gradué 1L,"<p><strong>Pichet doseur gradué</strong> en plastique transparent, avec graduations en millilitres, grammes de sucre et de farine. Un indispensable pour la pâtisserie.</p><ul>
<li>Capacité : 1 litre</li>
<li>Graduations multiples (ml, g sucre, g farine)</li>
<li>Plastique transparent résistant</li>
</ul>",My Store,,Ustensiles,"cuisine, doseur, pichet, pâtisserie",true,Title,Default Title,,,,,,,,,200.0,,100,deny,manual,2.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/309.png?v=1785758164,1,Pichet Doseur Gradué 1L,false,,,,kg,,,active
presse-agrumes-pichet-doseur,Presse-Agrumes avec Pichet Doseur,"<p><strong>Presse-agrumes</strong> avec pichet doseur gradué intégré, pratique pour préparer vos jus de fruits frais tout en mesurant les quantités.</p><ul>
<li>Presse-agrumes amovible</li>
<li>Pichet gradué intégré</li>
<li>Poignée ergonomique</li>
</ul>",My Store,,Ustensiles,"cuisine, jus, presse-agrumes, ustensile",true,Title,Default Title,,,,,,,,,300.0,,100,deny,manual,2.49,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/308.png?v=1785758164,1,Presse-Agrumes avec Pichet Doseur,false,,,,kg,,,active
